,user,1,2,3,4,5,6,7,8,9,10
3338,0,Cool Hand Luke (1967),Odd Couple% The (1968),Jerk% The (1979),Monty Python's Life of Brian (1979),Shakespeare in Love (1998),Stand by Me (1986),Boys Don't Cry (1999),Dogma (1999),Fast Times at Ridgemont High (1982),
3339,0,Run Lola Run (Lola rennt) (1998),Sixth Sense% The (1999),Life Is Beautiful (La Vita è bella) (1997),Sling Blade (1996),Big Lebowski% The (1998),Nikita (La Femme Nikita) (1990),Say Anything... (1989),Rushmore (1998),Simple Plan% A (1998),
3340,0,Talented Mr. Ripley% The (1999),GoodFellas (1990),Sling Blade (1996),Run Lola Run (Lola rennt) (1998),Galaxy Quest (1999),Mars Attacks! (1996),Insider% The (1999),Boys Don't Cry (1999),Terminator 2: Judgment Day (1991),
3341,0,Ed Wood (1994),Hoop Dreams (1994),Nikita (La Femme Nikita) (1990),Some Folks Call It a Sling Blade (1993),Silence of the Lambs% The (1991),Schindler's List (1993),Carlito's Way (1993),Big Lebowski% The (1998),American History X (1998),
3342,0,Mod Squad% The (1999),Civil Action% A (1998),Deep End of the Ocean% The (1999),Jakob the Liar (1999),Inspector Gadget (1999),Astronaut's Wife% The (1999),Eyes Wide Shut (1999),White Squall (1996),Mickey Blue Eyes (1999),
3343,0,Coyote Ugly (2000),Big Momma's House (2000),Next Friday (1999),Mystery% Alaska (1999),Kid% The (2000),Ready to Rumble (2000),Gone in 60 Seconds (2000),Police Academy 6: City Under Siege (1989),Police Academy 4: Citizens on Patrol (1987),
3344,1,L.A. Confidential (1997),Sixth Sense% The (1999),GoodFellas (1990),Schindler's List (1993),Pulp Fiction (1994),Green Mile% The (1999),Run Lola Run (Lola rennt) (1998),Citizen Kane (1941),Babe (1995),
3345,1,Tombstone (1993),Outbreak (1995),Bull Durham (1988),Stand by Me (1986),Gods Must Be Crazy% The (1980),Natural Born Killers (1994),Parenthood (1989),Fish Called Wanda% A (1988),Pale Rider (1985),
3346,1,Manhattan (1979),Sid and Nancy (1986),Close Encounters of the Third Kind (1977),Producers% The (1968),Apocalypse Now (1979),Verdict% The (1982),Three Days of the Condor (1975),Grifters% The (1990),Touch of Evil (1958),
3347,0,Good Will Hunting (1997),American Beauty (1999),Fargo (1996),Whole Nine Yards% The (2000),GoodFellas (1990),Perfect Storm% The (2000),Red Violin% The (Le Violon rouge) (1998),Liberty Heights (1999),Frequency (2000),
3348,0,Breakfast at Tiffany's (1961),I.Q. (1994),Cyrano de Bergerac (1990),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),West Side Story (1961),Ghost (1990),Tin Cup (1996),While You Were Sleeping (1995),Six Days Seven Nights (1998),
3349,1,Galaxy Quest (1999),Get Shorty (1995),October Sky (1999),Toy Story 2 (1999),Starship Troopers (1997),Dances with Wolves (1990),Rumble in the Bronx (1995),Die Hard 2 (1990),Hurricane% The (1999),
3350,0,Bottle Rocket (1996),Austin Powers: International Man of Mystery (1997),Pleasantville (1998),Opposite of Sex% The (1998),Toy Story 2 (1999),Waking Ned Devine (1998),Happiness (1998),Full Monty% The (1997),Trekkies (1997),
3351,0,For Love of the Game (1999),Stigmata (1999),Random Hearts (1999),I Saw What You Did (1965),End of Days (1999),Doctor Dolittle (1998),Stir of Echoes (1999),Astronaut's Wife% The (1999),Beach% The (2000),
3352,0,Something Wicked This Way Comes (1983),Monkey Shines (1988),Cat's Eye (1985),Buffy the Vampire Slayer (1992),Cat People (1982),Eraserhead (1977),Near Dark (1987),Mary Shelley's Frankenstein (1994),Fly II% The (1989),
3353,1,Hot Shots! Part Deux (1993),Dead Man Walking (1995),Die Hard: With a Vengeance (1995),Highlander (1986),Twister (1996),Star Trek: The Motion Picture (1979),Lethal Weapon 2 (1989),Untouchables% The (1987),There's Something About Mary (1998),
3354,0,Princess Bride% The (1987),Planet of the Apes (1968),Mad Max 2 (a.k.a. The Road Warrior) (1981),Raiders of the Lost Ark (1981),Invasion of the Body Snatchers (1956),Abyss% The (1989),Star Wars: Episode I - The Phantom Menace (1999),Jurassic Park (1993),City of Lost Children% The (1995),
3355,0,Fargo (1996),Sixth Sense% The (1999),American Beauty (1999),GoodFellas (1990),Godfather% The (1972),Schindler's List (1993),Green Mile% The (1999),L.A. Confidential (1997),Sling Blade (1996),
3356,1,Aliens (1986),Adventures of Robin Hood% The (1938),Braveheart (1995),Man Who Would Be King% The (1975),Princess Bride% The (1987),Star Wars: Episode I - The Phantom Menace (1999),Bride of Frankenstein (1935),Fantastic Planet% The (La Planète sauvage) (1973),Eraserhead (1977),
3357,0,Schindler's List (1993),Usual Suspects% The (1995),Fish Called Wanda% A (1988),Sling Blade (1996),Insider% The (1999),Stripes (1981),Caddyshack (1980),Parenthood (1989),Leaving Las Vegas (1995),
3358,0,Quiz Show (1994),Much Ado About Nothing (1993),Galaxy Quest (1999),Titanic (1997),Indiana Jones and the Last Crusade (1989),Single White Female (1992),Mummy% The (1999),From Dusk Till Dawn (1996),Fisher King% The (1991),
3359,0,Lock% Stock & Two Smoking Barrels (1998),Simple Plan% A (1998),Sixth Sense% The (1999),Princess Bride% The (1987),Nikita (La Femme Nikita) (1990),Butch Cassidy and the Sundance Kid (1969),Dog Day Afternoon (1975),Reservoir Dogs (1992),Erin Brockovich (2000),
3360,0,Charade (1963),Like Water for Chocolate (Como agua para chocolate) (1992),Breakfast at Tiffany's (1961),William Shakespeare's Romeo and Juliet (1996),Strictly Ballroom (1992),Postino% Il (The Postman) (1994),Muriel's Wedding (1994),Room with a View% A (1986),Emma (1996),
3361,0,Indiana Jones and the Last Crusade (1989),Predator (1987),Con Air (1997),Glory (1989),Abyss% The (1989),Face/Off (1997),Lethal Weapon 2 (1989),Galaxy Quest (1999),Planet of the Apes (1968),
3362,1,Tin Cup (1996),Toy Story 2 (1999),Liar Liar (1997),Truth About Cats & Dogs% The (1996),Doctor Dolittle (1998),While You Were Sleeping (1995),Notting Hill (1999),Outside Providence (1999),Runaway Bride (1999),
3363,1,Don Juan DeMarco (1995),Tin Cup (1996),Soapdish (1991),Much Ado About Nothing (1993),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),I.Q. (1994),Honeymoon in Vegas (1992),Phenomenon (1996),Sliding Doors (1998),
3364,0,English Patient% The (1996),Brassed Off (1996),Eat Drink Man Woman (1994),Shadowlands (1993),Primary Colors (1998),Immortal Beloved (1994),Six Degrees of Separation (1993),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),Sleepless in Seattle (1993),
3365,1,Superman II (1980),Time Bandits (1981),Metropolis (1926),Barefoot in the Park (1967),20%000 Leagues Under the Sea (1954),Big (1988),Spaceballs (1987),Mighty Aphrodite (1995),Flamingo Kid% The (1984),
3366,0,Rocky (1976),Indiana Jones and the Temple of Doom (1984),Princess Bride% The (1987),Abyss% The (1989),Platoon (1986),Jaws (1975),Who Framed Roger Rabbit? (1988),Star Wars: Episode IV - A New Hope (1977),F/X (1986),
3367,0,Romeo and Juliet (1968),Seven (Se7en) (1995),Some Folks Call It a Sling Blade (1993),Mr. Smith Goes to Washington (1939),Marty (1955),They Shoot Horses% Don't They? (1969),My Favorite Year (1982),Big (1988),Raging Bull (1980),
3368,0,Rocky (1976),Indiana Jones and the Temple of Doom (1984),Godfather% The (1972),Untouchables% The (1987),Total Recall (1990),Aliens (1986),X-Men (2000),Planet of the Apes (1968),Titanic (1953),
3369,0,Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),M*A*S*H (1970),When Harry Met Sally... (1989),Citizen Kane (1941),Monty Python and the Holy Grail (1974),French Connection% The (1971),Alien (1979),Boat% The (Das Boot) (1981),
3370,1,Galaxy Quest (1999),Wizard of Oz% The (1939),Hook (1991),Speed (1994),Simple Plan% A (1998),Get Shorty (1995),Being John Malkovich (1999),Indiana Jones and the Last Crusade (1989),Run Lola Run (Lola rennt) (1998),
3371,1,Galaxy Quest (1999),Henry V (1989),Chariots of Fire (1981),12 Angry Men (1957),Blood Simple (1984),Lord of the Flies (1963),Player% The (1992),Elizabeth (1998),Breaking Away (1979),
3372,0,To Catch a Thief (1955),Chinatown (1974),Absolute Power (1997),Vertigo (1958),Roman Holiday (1953),Bell% Book and Candle (1958),Thin Man% The (1934),Gaslight (1944),Palmetto (1998),
3373,0,Fifth Element% The (1997),Matrix% The (1999),Out of Sight (1998),True Lies (1994),Godfather: Part III% The (1990),Mission: Impossible (1996),Star Wars: Episode I - The Phantom Menace (1999),Fugitive% The (1993),Mariachi% El (1992),
3374,0,Some Folks Call It a Sling Blade (1993),Bananas (1971),M*A*S*H (1970),Brazil (1985),Local Hero (1983),Grifters% The (1990),Leaving Las Vegas (1995),Sting% The (1973),L.A. Confidential (1997),
3375,0,Full Metal Jacket (1987),Lethal Weapon 3 (1992),Sleepy Hollow (1999),Play it to the Bone (1999),F/X (1986),U-571 (2000),Space Cowboys (2000),What About Bob? (1991),Ready to Rumble (2000),
3376,0,Eyes Wide Shut (1999),Doctor Dolittle (1998),Cruel Intentions (1999),Bowfinger (1999),Powder (1995),Dogma (1999),Civil Action% A (1998),Bone Collector% The (1999),Bringing Out the Dead (1999),
3377,0,Eraser (1996),Psycho (1998),Fugitive% The (1993),Ronin (1998),River Wild% The (1994),Tomorrow Never Dies (1997),Scream 2 (1997),Negotiator% The (1998),Falling Down (1993),
3378,1,Mrs. Doubtfire (1993),Galaxy Quest (1999),Tin Cup (1996),Private Parts (1997),Wizard of Oz% The (1939),So I Married an Axe Murderer (1993),Clueless (1995),Birdcage% The (1996),Striptease (1996),
3379,0,Boys Don't Cry (1999),Story of Us% The (1999),Elizabeth (1998),Boiler Room (2000),South Park: Bigger% Longer and Uncut (1999),Man on the Moon (1999),Clerks (1994),White Squall (1996),Red Violin% The (Le Violon rouge) (1998),
3380,1,Christmas Story% A (1983),Abyss% The (1989),Clockwork Orange% A (1971),Man Who Would Be King% The (1975),Marathon Man (1976),From Here to Eternity (1953),Say Anything... (1989),Producers% The (1968),Animal House (1978),
3381,0,Road Trip (2000),Adventures of Rocky and Bullwinkle% The (2000),Replacements% The (2000),Next Friday (1999),Loser (2000),Girl% Interrupted (1999),Nutty Professor II: The Klumps (2000),Angela's Ashes (1999),Shaft (2000),
3382,1,Blast from the Past (1999),Sabrina (1995),Hope Floats (1998),Ghost (1990),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),Anna and the King (1999),Truth About Cats & Dogs% The (1996),Tin Cup (1996),There's Something About Mary (1998),
3383,0,Godfather: Part II% The (1974),Blade Runner (1982),2001: A Space Odyssey (1968),Full Metal Jacket (1987),Star Wars: Episode VI - Return of the Jedi (1983),Everything You Always Wanted to Know About Sex (1972),Terminator% The (1984),Abyss% The (1989),Clockwork Orange% A (1971),
3384,0,Clockwork Orange% A (1971),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Eyes Wide Shut (1999),54 (1998),Big Daddy (1999),Cruel Intentions (1999),8 Heads in a Duffel Bag (1997),Close Encounters of the Third Kind (1977),Around the World in 80 Days (1956),
3385,0,Sinbad and the Eye of the Tiger (1977),G.I. Jane (1997),Patch Adams (1998),Mystery% Alaska (1999),Godzilla (Gojira) (1984),Shaft (1971),F/X 2 (1992),Lethal Weapon 4 (1998),Naked Gun 2 1/2: The Smell of Fear% The (1991),
3386,0,Boys Don't Cry (1999),Bringing Out the Dead (1999),54 (1998),20 Dates (1998),Elizabeth (1998),Detroit Rock City (1999),Snow Falling on Cedars (1999),Doors% The (1991),Jerry Maguire (1996),
3387,1,Carlito's Way (1993),Some Folks Call It a Sling Blade (1993),True Romance (1993),Bound (1996),Freeway (1996),Rounders (1998),Godfather: Part III% The (1990),Mulholland Falls (1996),Boat% The (Das Boot) (1981),
3388,0,Fish Called Wanda% A (1988),Naked Gun: From the Files of Police Squad!% The (1988),When Harry Met Sally... (1989),Bull Durham (1988),Midsummer Night's Dream% A (1999),Animal House (1978),Say Anything... (1989),Monty Python and the Holy Grail (1974),Back to the Future (1985),
3389,1,Wing Commander (1999),Mad Max 2 (a.k.a. The Road Warrior) (1981),Crow: City of Angels% The (1996),Shawshank Redemption% The (1994),Tank Girl (1995),Ladyhawke (1985),Mercury Rising (1998),Blair Witch Project% The (1999),Small Soldiers (1998),
3390,0,Rear Window (1954),Lolita (1962),Eat Drink Man Woman (1994),Return of Martin Guerre% The (Retour de Martin Guerre% Le) (1982),Belle de jour (1967),Ordinary People (1980),Body Heat (1981),Klute (1971),Man for All Seasons% A (1966),
3391,1,Patch Adams (1998),Last Days of Disco% The (1998),He Got Game (1998),Hope Floats (1998),Six Days Seven Nights (1998),Fandango (1985),Song of the South (1946),Ever After: A Cinderella Story (1998),Charlotte's Web (1973),
3392,0,Play it to the Bone (1999),Schindler's List (1993),L.A. Confidential (1997),Pulp Fiction (1994),Angela's Ashes (1999),Sixth Sense% The (1999),Sling Blade (1996),Babe (1995),Nikita (La Femme Nikita) (1990),
3393,0,Dirty Dozen% The (1967),Thing% The (1982),Thelma & Louise (1991),Lord of the Flies (1963),Adventures of Buckaroo Bonzai Across the 8th Dimension% The (1984),Heavy Metal (1981),Nineteen Eighty-Four (1984),Dreamscape (1984),NeverEnding Story% The (1984),
3394,1,Nikita (La Femme Nikita) (1990),King Kong (1933),Glory (1989),Boat% The (Das Boot) (1981),Bonnie and Clyde (1967),Who Framed Roger Rabbit? (1988),Metropolis (1926),Brief Encounter (1946),All Quiet on the Western Front (1930),
3395,0,Eyes Wide Shut (1999),Erin Brockovich (2000),Man on the Moon (1999),Dick (1999),Double Jeopardy (1999),Pushing Tin (1999),Bringing Out the Dead (1999),Kingpin (1996),Boys Don't Cry (1999),
3396,0,Indiana Jones and the Last Crusade (1989),Terminator% The (1984),Godfather: Part II% The (1974),Princess Bride% The (1987),Back to the Future (1985),2001: A Space Odyssey (1968),Aliens (1986),Blade Runner (1982),Who Framed Roger Rabbit? (1988),
3397,0,Graduate% The (1967),12 Angry Men (1957),To Kill a Mockingbird (1962),One Flew Over the Cuckoo's Nest (1975),Back to the Future (1985),Boat% The (Das Boot) (1981),Who Framed Roger Rabbit? (1988),Jaws (1975),African Queen% The (1951),
3398,1,Babe: Pig in the City (1998),Limey% The (1999),Living in Oblivion (1995),Shawshank Redemption% The (1994),Insider% The (1999),Malcolm X (1992),Schindler's List (1993),Beach% The (2000),Some Folks Call It a Sling Blade (1993),
3399,1,Fugitive% The (1993),Starship Troopers (1997),Pocahontas (1995),Face/Off (1997),Jurassic Park (1993),Patriot Games (1992),Contact (1997),Single White Female (1992),X-Files: Fight the Future% The (1998),
3400,0,Rocketeer% The (1991),Abyss% The (1989),Star Trek: The Motion Picture (1979),Air Force One (1997),Braveheart (1995),Galaxy Quest (1999),Live and Let Die (1973),On Her Majesty's Secret Service (1969),Mars Attacks! (1996),
3401,1,Three Days of the Condor (1975),Jackal% The (1997),Conspiracy Theory (1997),G.I. Jane (1997),Face/Off (1997),Speed 2: Cruise Control (1997),Fright Night (1985),Last of the Mohicans% The (1992),Sneakers (1992),
3402,1,Last Picture Show% The (1971),Ninotchka (1939),Shawshank Redemption% The (1994),12 Angry Men (1957),Grapes of Wrath% The (1940),Seventh Seal% The (Sjunde inseglet% Det) (1957),Manchurian Candidate% The (1962),Apartment% The (1960),Boat% The (Das Boot) (1981),
3403,1,Godfather: Part III% The (1990),Galaxy Quest (1999),Last of the Mohicans% The (1992),Thomas Crown Affair% The (1999),Desperado (1995),Anastasia (1997),Raiders of the Lost Ark (1981),Fantasia 2000 (1999),Star Wars: Episode VI - Return of the Jedi (1983),
3404,0,Starship Troopers (1997),Independence Day (ID4) (1996),Lost World: Jurassic Park% The (1997),Waterworld (1995),X-Men (2000),Terminator 2: Judgment Day (1991),Maverick (1994),Matrix% The (1999),Get Shorty (1995),
3405,0,Green Mile% The (1999),Some Folks Call It a Sling Blade (1993),Schindler's List (1993),L.A. Confidential (1997),GoodFellas (1990),Sixth Sense% The (1999),Three Kings (1999),Godfather% The (1972),Keeping the Faith (2000),
3406,0,Rain Man (1988),Elephant Man% The (1980),My Left Foot (1989),Never Cry Wolf (1983),Airplane! (1980),Mission% The (1986),Star Wars: Episode IV - A New Hope (1977),Breakfast Club% The (1985),Full Metal Jacket (1987),
3407,1,Toy Story 2 (1999),American Beauty (1999),Babe: Pig in the City (1998),Talented Mr. Ripley% The (1999),Bug's Life% A (1998),Green Mile% The (1999),Braveheart (1995),Jerry Maguire (1996),Gladiator (2000),
3408,1,Outlaw Josey Wales% The (1976),Lion King% The (1994),Mary Poppins (1964),Who Framed Roger Rabbit? (1988),Magnum Force (1973),Blade Runner (1982),Platoon (1986),Rocky (1976),Antz (1998),
3409,0,Hand That Rocks the Cradle% The (1992),Copycat (1995),Basic Instinct (1992),Simple Plan% A (1998),Professional% The (a.k.a. Leon: The Professional) (1994),Kalifornia (1993),True Romance (1993),Murder in the First (1995),Nikita (La Femme Nikita) (1990),
3410,1,Titan A.E. (2000),Chariots of Fire (1981),Mr. Holland's Opus (1995),Grifters% The (1990),Flamingo Kid% The (1984),Almost Famous (2000),Murphy's Romance (1985),About Last Night... (1986),Red Violin% The (Le Violon rouge) (1998),
3411,1,Thelma & Louise (1991),Star Wars: Episode I - The Phantom Menace (1999),Run Lola Run (Lola rennt) (1998),Boogie Nights (1997),E.T. the Extra-Terrestrial (1982),Dances with Wolves (1990),Pi (1998),Strange Days (1995),Shakespeare in Love (1998),
3412,1,Mallrats (1995),Quiz Show (1994),X-Files: Fight the Future% The (1998),Terminator% The (1984),Mr. Holland's Opus (1995),Galaxy Quest (1999),Sneakers (1992),Negotiator% The (1998),Romeo Must Die (2000),
3413,0,GoodFellas (1990),Run Lola Run (Lola rennt) (1998),Life Is Beautiful (La Vita è bella) (1997),Rushmore (1998),Usual Suspects% The (1995),Grapes of Wrath% The (1940),Sling Blade (1996),Keeping the Faith (2000),Bonnie and Clyde (1967),
3414,1,Small Soldiers (1998),Avengers% The (1998),Snake Eyes (1998),Rocketeer% The (1991),Starman (1984),Negotiator% The (1998),Labyrinth (1986),Tank Girl (1995),Spy Who Loved Me% The (1977),
3415,1,Airplane! (1980),Good Morning% Vietnam (1987),Blues Brothers% The (1980),As Good As It Gets (1997),Babe: Pig in the City (1998),Iron Giant% The (1999),Caddyshack (1980),Batman (1989),Defending Your Life (1991),
3416,1,Repo Man (1984),Wild Wild West (1999),Virtuosity (1995),Bicentennial Man (1999),Robocop 3 (1993),Alien Nation (1988),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Congo (1995),Pi (1998),
3417,0,Big Sleep% The (1946),And Now for Something Completely Different (1971),Bicycle Thief% The (Ladri di biciclette) (1948),Key Largo (1948),Third Man% The (1949),Wrong Trousers% The (1993),Shadow of a Doubt (1943),Manchurian Candidate% The (1962),Battleship Potemkin% The (Bronenosets Potyomkin) (1925),
3418,1,American Beauty (1999),Reservoir Dogs (1992),White Christmas (1954),Schindler's List (1993),Sling Blade (1996),L.A. Story (1991),Shall We Dance? (Shall We Dansu?) (1996),Player% The (1992),Good Will Hunting (1997),
3419,0,On Her Majesty's Secret Service (1969),Life Is Beautiful (La Vita è bella) (1997),Brazil (1985),Mystery Science Theater 3000: The Movie (1996),Young Sherlock Holmes (1985),Live and Let Die (1973),Goonies% The (1985),Conquest of the Planet of the Apes (1972),Wizard of Oz% The (1939),
3420,0,Stand by Me (1986),Big Lebowski% The (1998),Cider House Rules% The (1999),Insider% The (1999),Say Anything... (1989),Silence of the Lambs% The (1991),Trainspotting (1996),Some Folks Call It a Sling Blade (1993),Strictly Ballroom (1992),
3421,0,Manhattan (1979),Sixth Sense% The (1999),October Sky (1999),Clerks (1994),Blazing Saddles (1974),Sting% The (1973),Around the World in 80 Days (1956),Being There (1979),Fargo (1996),
3422,0,Monty Python's Life of Brian (1979),Big Lebowski% The (1998),Last of the Mohicans% The (1992),Heat (1995),Good Morning% Vietnam (1987),Star Wars: Episode I - The Phantom Menace (1999),Thelma & Louise (1991),Naked Gun: From the Files of Police Squad!% The (1988),Young Guns II (1990),
3423,1,Ruthless People (1986),Heathers (1989),Star Trek: Insurrection (1998),Babe: Pig in the City (1998),Twelve Monkeys (1995),Face/Off (1997),Big Chill% The (1983),Adventures of Buckaroo Bonzai Across the 8th Dimension% The (1984),Aliens (1986),
3424,0,Cider House Rules% The (1999),Braveheart (1995),Fargo (1996),Dead Man Walking (1995),Anna and the King (1999),GoodFellas (1990),Sling Blade (1996),Hamlet (1996),Alive (1993),
3425,0,Flatliners (1990),Suicide Kings (1997),Last of the Mohicans% The (1992),Absolute Power (1997),Dances with Wolves (1990),Opposite of Sex% The (1998),Grifters% The (1990),Twister (1996),He Got Game (1998),
3426,0,Red Rock West (1992),Firm% The (1993),Pulp Fiction (1994),Enemy of the State (1998),Out of Sight (1998),GoodFellas (1990),Saving Private Ryan (1998),Abyss% The (1989),True Romance (1993),
3427,0,Out of Sight (1998),Pulp Fiction (1994),Nikita (La Femme Nikita) (1990),GoodFellas (1990),Mariachi% El (1992),Run Lola Run (Lola rennt) (1998),Bound (1996),Unforgiven (1992),Lock% Stock & Two Smoking Barrels (1998),
3428,0,To Kill a Mockingbird (1962),Misérables% Les (1995),Kundun (1997),Elephant Man% The (1980),Miracle on 34th Street (1947),Who Framed Roger Rabbit? (1988),Mission% The (1986),Back to the Future (1985),Ordinary People (1980),
3429,0,Rushmore (1998),Run Lola Run (Lola rennt) (1998),Magnolia (1999),Clerks (1994),Gods and Monsters (1998),Elizabeth (1998),South Park: Bigger% Longer and Uncut (1999),American History X (1998),Man on the Moon (1999),
3430,1,Boys Don't Cry (1999),Crying Game% The (1992),Ordinary People (1980),Edward Scissorhands (1990),M*A*S*H (1970),Babe (1995),Airplane! (1980),Some Folks Call It a Sling Blade (1993),October Sky (1999),
3431,0,Braveheart (1995),Titanic (1953),Princess Bride% The (1987),Terminator 2: Judgment Day (1991),Men in Black (1997),Get Shorty (1995),Terminator% The (1984),Godfather% The (1972),Godfather: Part II% The (1974),
3432,0,Untouchables% The (1987),Pee-wee's Big Adventure (1985),Jurassic Park (1993),Jewel of the Nile% The (1985),Adventures in Babysitting (1987),Stand by Me (1986),Pretty in Pink (1986),Star Wars: Episode I - The Phantom Menace (1999),Jaws (1975),
3433,1,Princess Bride% The (1987),Good Will Hunting (1997),GoodFellas (1990),Alien (1979),Halloween 4: The Return of Michael Myers (1988),Godfather% The (1972),Dick Tracy (1990),E.T. the Extra-Terrestrial (1982),American Beauty (1999),
3434,1,Mask% The (1994),Batman & Robin (1997),Lost World: Jurassic Park% The (1997),Conspiracy Theory (1997),Beverly Hills Cop III (1994),Shakespeare in Love (1998),Mars Attacks! (1996),Silence of the Lambs% The (1991),Mummy% The (1999),
3435,0,Citizen Kane (1941),Quiet Man% The (1952),Star Trek VI: The Undiscovered Country (1991),Cat Ballou (1965),Titanic (1997),Blues Brothers% The (1980),Jaws (1975),Christmas Story% A (1983),Outlaw Josey Wales% The (1976),
3436,0,Brazil (1985),Wild Bunch% The (1969),Eyes Wide Shut (1999),Stir of Echoes (1999),Stigmata (1999),Mission: Impossible 2 (2000),20 Dates (1998),For Love of the Game (1999),Talented Mr. Ripley% The (1999),
3437,1,Christmas Story% A (1983),Fish Called Wanda% A (1988),Raising Arizona (1987),Monty Python's Life of Brian (1979),M*A*S*H (1970),Caddyshack (1980),Trading Places (1983),Bottle Rocket (1996),Ghostbusters (1984),
3438,1,Chicken Run (2000),Little Voice (1998),Austin Powers: International Man of Mystery (1997),Pleasantville (1998),Office Space (1999),Dogma (1999),Magnolia (1999),Man on the Moon (1999),Go (1999),
3439,0,Cocoon (1985),Blues Brothers% The (1980),Brighton Beach Memoirs (1986),Mr. Mom (1983),Naked Gun: From the Files of Police Squad!% The (1988),Predator (1987),Rain Man (1988),Princess Bride% The (1987),Ghostbusters (1984),
3440,0,Schindler's List (1993),Sling Blade (1996),Grifters% The (1990),American Beauty (1999),Green Mile% The (1999),Reservoir Dogs (1992),Gladiator (2000),Gone in 60 Seconds (2000),Shaft (2000),
3441,0,In the Line of Fire (1993),Life Is Beautiful (La Vita è bella) (1997),Natural Born Killers (1994),Sling Blade (1996),While You Were Sleeping (1995),Return to Me (2000),Get Shorty (1995),William Shakespeare's Romeo and Juliet (1996),Anywhere But Here (1999),
3442,1,Mystery Science Theater 3000: The Movie (1996),Star Wars: Episode VI - Return of the Jedi (1983),Pi (1998),Saving Private Ryan (1998),Star Trek VI: The Undiscovered Country (1991),Seven (Se7en) (1995),X-Men (2000),Sneakers (1992),Sling Blade (1996),
3443,0,E.T. the Extra-Terrestrial (1982),Planet of the Apes (1968),Princess Bride% The (1987),Mad Max 2 (a.k.a. The Road Warrior) (1981),Fly% The (1986),Abyss% The (1989),Matrix% The (1999),Raiders of the Lost Ark (1981),Jaws (1975),
3444,0,Wedding Singer% The (1998),Truth About Cats & Dogs% The (1996),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),Grumpier Old Men (1995),While You Were Sleeping (1995),Mother (1996),Sabrina (1995),Muriel's Wedding (1994),L.A. Story (1991),
3445,1,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Jurassic Park (1993),Fargo (1996),Run Lola Run (Lola rennt) (1998),Terminator% The (1984),Alien (1979),Metropolis (1926),Ghostbusters (1984),Toy Story 2 (1999),
3446,0,Rosemary's Baby (1968),Omen% The (1976),Birds% The (1963),Night of the Living Dead (1968),Frankenstein (1931),Braindead (1992),Texas Chainsaw Massacre% The (1974),Henry: Portrait of a Serial Killer (1990),Nosferatu (Nosferatu% eine Symphonie des Grauens) (1922),
3447,1,E.T. the Extra-Terrestrial (1982),Blade Runner (1982),Star Wars: Episode I - The Phantom Menace (1999),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Princess Bride% The (1987),Seven (Se7en) (1995),Being John Malkovich (1999),Big Lebowski% The (1998),Mission: Impossible 2 (2000),
3448,0,Total Recall (1990),Braveheart (1995),Star Wars: Episode I - The Phantom Menace (1999),Speed (1994),Mission: Impossible (1996),Fifth Element% The (1997),Con Air (1997),Arachnophobia (1990),Mask of Zorro% The (1998),
3449,0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Princess Bride% The (1987),Abyss% The (1989),Predator (1987),Jaws (1975),Thing% The (1982),Nikita (La Femme Nikita) (1990),Saving Private Ryan (1998),Wallace & Gromit: The Best of Aardman Animation (1996),
3450,1,Schindler's List (1993),Professional% The (a.k.a. Leon: The Professional) (1994),Backdraft (1991),Some Folks Call It a Sling Blade (1993),Cider House Rules% The (1999),Rounders (1998),Alive (1993),Run Lola Run (Lola rennt) (1998),Boys Don't Cry (1999),
3451,0,Hudsucker Proxy% The (1994),Pleasantville (1998),Singles (1992),Swingers (1996),To Die For (1995),Grosse Pointe Blank (1997),Adventures of Priscilla% Queen of the Desert% The (1994),Party Girl (1995),Everyone Says I Love You (1996),
3452,0,Pulp Fiction (1994),Election (1999),Sling Blade (1996),Life Is Beautiful (La Vita è bella) (1997),Leaving Las Vegas (1995),Gladiator (2000),Grifters% The (1990),Dances with Wolves (1990),One Flew Over the Cuckoo's Nest (1975),
3453,1,Heat (1995),Twister (1996),Thelma & Louise (1991),Green Mile% The (1999),Rob Roy (1995),Legends of the Fall (1994),Monty Python's Life of Brian (1979),Truman Show% The (1998),Negotiator% The (1998),
3454,1,Galaxy Quest (1999),Twelve Monkeys (1995),Menace II Society (1993),Iron Giant% The (1999),Pretty Woman (1990),Alive (1993),Wayne's World (1992),Nightmare Before Christmas% The (1993),Babe (1995),
